year,price,mileage
2016,14,114
2016,12,93.7
2014,13.9,115.9
2013,12.875,78.9
2020,32.9,11.9
2017,17.5,63
2020,31.888,27.161
2021,36.909,17.534
2020,31.881,32.201
2019,24,46.575
2021,41.885,12.028
2017,15.899,60.114
2021,31.446,31.817
2021,26.998,65.177
2022,69.999,11.5
2016,16.648,62.101
2023,41.499,17.946
2021,29.888,36.037
2021,32.997,40.938
2023,47.574,9.42
2005,5.5,122.702
2024,57.435,7.36
2021,31.968,26.052
2021,25,62.356
2023,42.032,22.259
2022,32.5,29.958
2020,22.444,72.519
2020,26.59,30.531
2021,31.995,27.147
2014,13.599,91.427
2021,25.881,54.688
2023,42.775,10.895
2020,34.588,16.7
2019,26.5,29.7
2021,34.999,33.442
2021,44.994,17.736
2020,34.5,14.2
2021,31.881,20.698
2023,45.588,6.854
2020,26.599,39.391
2021,30.999,26.145
2017,17.499,51.715
2011,6.999,131.34
2021,28.888,41.049
2021,30.999,25.732
2021,30.996,24.579
2024,49.992,0.006
2023,42.499,15.746
2020,23.538,52.693
2014,11.5,92.896
2021,25.3,40.057
2009,7.5,114.61
2021,31.365,29.394
2021,45.998,19.013
2021,30.799,28.243
2019,24.999,29.401
2019,20.995,69.251
2023,39.097,47.883
2021,35.411,8.31
2021,34.444,22.836
2021,31.881,22.948
2021,30.995,22.651
2021,28.997,33.203
2022,42.295,74.472
2023,60.16,5.769
2021,31.777,17.808
2021,34.488,27.586
2021,31.472,18.486
2022,55.999,14
2021,29.881,35.459
2021,38.881,13.413
2023,41.499,17.697
2021,31.995,29.285
2021,31.597,19.714
2023,39.998,13.358
2023,46.9,6.404
2021,34.399,40.411
2021,30.999,31.162
2021,29.995,28.441
2020,25.899,38.286
2011,12.699,77.089
2021,34.999,33.689
2021,29.888,30.433
2020,21.595,64.194
2021,30.418,29.167
2024,45.12,6.375
2021,32.987,26.665
2023,78.99,2.967
2021,30.993,34.09
2021,31.995,28.399
2021,24.992,55.167
2021,30.777,25.759
2021,33.999,10.561
2021,34.991,21.859
2021,28.771,21.734
2019,27.999,59.45
