year,price,mileage
2014,15.4,135.5
2024,72.945,3.239
2020,42.84,54.62
2021,39.14,27.383
2015,21.491,72.713
2001,7,181
2021,39.881,44.078
2022,38.496,39.405
2018,26.646,56.708
2023,58.883,12.477
2020,35.88,47.147
2021,40.444,38.387
2021,33.997,51.285
2020,35.771,48.773
2019,31.988,70.058
2020,51.845,29.34
2018,35.992,35.84
2024,73,6.152
2016,28,42.338
2024,96.72,5.093
2021,39.452,42.864
2024,70.095,6.636
2014,13.3,110.555
2016,17,119.5
2024,59.945,15.363
2013,6.9,195.814
2012,9,97.5
2019,49.9,56
2022,37.888,31.846
2020,37.888,21.636
2024,69.945,1.497
2024,76.888,10.729
2019,40.9,41.636
2020,40,27
2021,43.881,54.578
2005,1.99,165.836
2021,44.771,21.701
2021,42.999,41.171
2019,44,36.865
2017,22.998,62.411
2021,41.888,40.509
2021,38.881,42.277
2023,56.988,26.528
2024,69.505,6.266
2022,62.995,24.731
2019,32.699,63.889
2021,36.999,33.217
2021,63,21
2021,39.999,36.394
2021,45.6,19.839
2021,45.911,39.35
2020,39.998,47.294
2021,42.881,37.607
2021,39.995,49.036
2022,44.491,27.249
2020,44.9,21.05
2020,42.25,28.452
2015,14.795,106.816
2021,43.988,28.498
2014,15.991,140.239
2020,38.977,27.366
2020,36.888,39.082
2021,39.881,53.875
2020,37.497,43.506
2021,39.952,31.511
2019,39,28.745
2022,57,19.7
2016,15.477,107.734
2023,57.994,7.943
2020,41.411,30.975
2024,69.395,6.08
2021,41.998,40.86
2022,43.99,55.231
2011,8.999,139
2022,45.999,40.38
2024,65.145,6.915
2023,58.98,10.249
2021,48.761,10.798
2021,49.991,22.183
2022,49.999,15.5
2017,29.5,30.802
2020,36.332,69.138
2021,41.298,33.739
2015,18.5,63.4
2015,16.995,107.784
2021,43.911,38.963
2020,40.991,40.444
2019,34,44.5
2017,24.392,53.464
2018,27,56.678
2014,14.75,138.5
2018,39,24.135
2023,55.489,9.666
2023,79.881,12.734
2021,48.499,30.587
2021,42.595,35.852
2021,41.881,39.567
2021,39.994,28.054
2021,36.96,38.734
2019,33.7,54.8
2021,39.888,33.77
2022,71.25,16.969
2023,56.87,7.857
2023,68.999,13.837
2024,62.83,6.779
2022,60.985,34.897
2024,69,3.297
2022,46.998,21.682
2021,40.881,35.774
2015,18.996,74.579
2021,37.881,31.719
2021,46.444,29.762
2018,33.999,55
2021,36.99,36.126
2022,42.492,26.174
2021,42.272,24.308
2024,75.945,3.414
2023,55.799,13.2
2024,74.52,6.408
2021,44.788,42.53
2024,63.5,6.605
2021,39.998,24.791
2021,39.999,17.107
2015,14.995,125.804
2021,48.759,28.21
2021,39.8,58.231
2024,63.205,11.975
2021,43.593,29.651
2024,78,6.27
2017,26.799,73
2022,69.75,15.75
2022,51.995,35.327
2022,59.901,18.669
2024,69.96,5.5
2020,42.999,27.126
2021,47.7,50.433
2023,60.965,11.699
2021,43.49,35.358
2023,76.994,9.38
2021,42.392,34.654
2016,18.939,85.993
2020,39.995,56
2021,40.911,40.932
2022,54.595,21.25
2005,7.5,152.395
2024,67.954,0.006
2022,55.591,12.569
2021,47.498,13.298
2021,55.996,25.798
2015,17.988,61.016
2019,33.885,59.447
2021,42.991,37.222
2020,39.995,59.044
2024,65.185,3.006
2024,69.05,5.778
2019,37.991,24.427
2021,45.881,16.269
2022,59.965,43.502
2021,45.445,26.244
2021,40.998,31.278
2013,11.991,100.891
2019,43.5,36
2021,44.881,24.023
2021,36.999,53.789
2021,37.991,31.672
2014,14.699,87.62
2020,42,16
2020,38.495,20.353
2020,32.335,53.588
2012,10.8,115
2021,48.871,33.451
2024,78.588,9.314
2024,71.988,8.952
2017,21.698,65.14
2021,41.999,28.675
2022,59.884,37.266
2021,39.499,32.799
2021,46.974,16.133
2013,10.495,108
2019,35.42,88
2023,59.999,4.153
2019,34.555,43.058
2022,57.89,7.2
2022,45.084,40.534
2021,51.5,36.755
2011,9.5,159
2019,43.292,25.507
2010,8.5,113
2021,46.588,43.393
2019,38.991,55.811
2020,52.05,17
2013,9.991,129.23
2012,19.259,102.999
2021,42.499,49.239
2021,55,36.5
2020,42.994,39.653
2018,26.246,97.032
2008,11.338,95.1
2024,96.745,4.677
2013,15.5,63.262
2024,59.209,20.098
2022,37.382,43.731
2018,23.345,71.059
2022,71,17
2021,41.21,22.952
2021,49.966,22.772
2021,46.445,42.709
2022,50.248,21.071
2021,40.225,31.914
2021,40.799,39.048
2006,4.5,194.107
2024,79.962,6.601
2022,53.669,3.806
2012,12.9,108
